id,name,address,latitude,longitude,region,type_id,type_name,notes,product,product,product,service,service,service,service,service,region,region
1771,7-Eleven,"100 Ferny Avenue, Surfers Paradise, Queensland, Australia",-27.995306,153.427407,Gold Coast,1,Standard retailer,,,,,,,,,,Gold Coast,
18,7-Eleven 120 Edward Street Brisbane,"120 Edward Street, Brisbane , Brisbane Central",-27.4702,153.028,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
19,7-Eleven 136 Queen Street Brisbane,"136 Queen Street (Cnr Albert and Burnett Lane), Brisbane , Brisbane Central",-27.4693,153.025,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
20,7-Eleven 174 Adelaide Street Brisbane,"174 Adelaide Street, Brisbane , Brisbane Central",-27.4675,153.026,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
21,7-Eleven 189 George Street Brisbane,"189 George Street, Brisbane , Brisbane Central",-27.4714,153.024,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
22,7-Eleven 231 George Street Brisbane,"231 George Street, Brisbane , Brisbane Central",-27.4706,153.023,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,Brisbane,
25,7-Eleven 333 George Street Brisbane,"corner George and Turbot Streets, Brisbane , Brisbane Central",-27.4687,153.022,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
697,7-Eleven Adelaide Street,"47 - 59 Adelaide Street, Brisbane , Brisbane Central",-27.46957,153.023727,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
6,7-Eleven Albany Creek,"70 Albany Creek Road, Albany Creek, Brisbane North",-27.364,153.013,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
28,7-Eleven Albert Street Brisbane,"97 Albert Street, Brisbane , Brisbane Central",-27.4715,153.027,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
3,7-Eleven Algester,"169 Algester Road, Algester, Brisbane South",-27.6125,153.039,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
1246,7-Eleven Ashgrove,"268 Waterworks Road, Ashgrove, Queensland, Australia",-27.446136,152.990995,,1,Standard retailer,,,,,,,,,,Brisbane,
5,7-Eleven Ashmore,"400 Nerang Road, Southport, Queensland, Australia",-27.979071,153.379559,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
961,7-Eleven Ashmore,"579 Ashmore Road, Molendinar, Queensland, Australia",-27.984646,153.365587,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
1251,7-Eleven Aspley,"1429 Gympie Road, Aspley, Queensland, Australia",-27.358375,153.017324,,1,Standard retailer,,,,,,,,,,Brisbane,
1811,7-Eleven Aspley,"581 Robinson Road West, Aspley, Queensland, Australia",-27.364937,153.026186,Brisbane,1,Standard retailer,,,,,,,,,,Brisbane,
26,7-Eleven Aurora Brisbane,"420 Queen Street, corner Wharf Street, Brisbane , Brisbane Central",-27.4652,153.03,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
8,7-Eleven Beenleigh,"2-6 City Road, Beenleigh, Southern",-27.7078,153.204,Southern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
