id,status,name,address,latitude,longitude,region1,type_id,type_name,notes,product1,product2,product3,service1,service2,service3,service4,service5,region2,region3
2,Published,Albion Station,"49 Albion Road, Albion, Brisbane North",-27.429438,153.040021,Brisbane North,5,Rail fare machine,,go card,,,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
3,Published,7-Eleven Algester,"169 Algester Road, Algester, Brisbane South",-27.6125,153.039,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
4,Published,Ashgrove News,"Ashgrove Shopping Centre, 16 Ashgrove Avenue, Ashgrove, Brisbane North",-27.4447,152.994,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
5,Published,7-Eleven Ashmore,"400 Nerang Road, Southport, Queensland, Australia",-27.979071,153.379559,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
6,Published,7-Eleven Albany Creek,"70 Albany Creek Road, Albany Creek, Brisbane North",-27.364,153.013,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
7,Published,Nextra Day and Night News,"1374 Gympie Road, Aspley, Brisbane North",-27.3626,153.017,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
8,Published,7-Eleven Beenleigh,"2-6 City Road, Beenleigh, Southern",-27.7078,153.204,Southern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
9,Published,Beenleigh Station,"Alamein Street, Beenleigh, Southern",-27.717125,153.204215,Southern,6,Rail ticket office,,go card,,,Buy,Top up,Register,Refund,Change expiry date,Logan,
10,Published,7-Eleven Birkdale,"Bailey Road, corner Birkdale Road, Birkdale, Eastern",-27.5095,153.206,Eastern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
11,Published,Booval Station,"South Station Road, Booval, Western",-27.609357,152.789796,Western,6,Rail ticket office,,go card,,,Buy,Top up,Register,Refund,Change expiry date,Ipswich,
12,Draft,7-Eleven Boronia Heights,"Cnr Coronation Road and Middle Road, Boronia Heights, Southern",-27.678743,153.021835,Brisbane,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,Brisbane,
13,Published,Bowen Hills Station,"Abbotsford Road, Bowen Hills, Brisbane Central",-27.445181,153.03756,Brisbane Central,5,Rail fare machine,,go card,,,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
14,Published,7-Eleven Bracken Ridge,"Telegraph Road, corner Norris Road, Bracken Ridge, Brisbane North",-27.3307,153.026,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
15,Published,7-Eleven Brassall,"21 Hunter Street, Brassall, Western",-27.5938,152.746,Western,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
16,Published,7-Eleven Bray Park,"Samsonvale Road, corner Old North Road, Bray Park (Moreton Bay Regional), Northern",-27.2915,152.953,Northern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
17,Published,Bray Park Station,"Railway Avenue, Bray Park (Moreton Bay Regional), Northern",-27.299367,152.986032,Moreton Bay,5,Rail fare machine,,go card,,,Buy,Top up,Register,Refund,Change expiry date,Moreton Bay,
18,Published,7-Eleven 120 Edward Street Brisbane,"120 Edward Street, Brisbane , Brisbane Central",-27.4702,153.028,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
19,Published,7-Eleven 136 Queen Street Brisbane,"136 Queen Street (Cnr Albert and Burnett Lane), Brisbane , Brisbane Central",-27.4693,153.025,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
20,Published,7-Eleven 174 Adelaide Street Brisbane,"174 Adelaide Street, Brisbane , Brisbane Central",-27.4675,153.026,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
21,Published,7-Eleven 189 George Street Brisbane,"189 George Street, Brisbane , Brisbane Central",-27.4714,153.024,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
22,Published,7-Eleven 231 George Street Brisbane,"231 George Street, Brisbane , Brisbane Central",-27.4706,153.023,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,Brisbane,
